YEAR,DOY,temp_aire_celsius,precipitacion,humedad_especifica,humedad_relativa
2024,32,11.26,0.1,6.75,62.22
2024,33,11.96,0,6.87,65.43
2024,34,10.47,0,6.42,66.6
2024,35,10.29,0,3.41,42.31
2024,36,10.02,0,2.89,31.92
2024,37,11.89,0,2.58,26.7
2024,38,13.68,0,05.06,47.32
2024,39,15.73,0,06.07,48.15
2024,40,14.84,0,5.31,44.38
2024,41,13.84,0,4.21,37.9
2024,42,13.99,0,4.51,35.75
2024,43,14.24,0.01,5.31,42.66
2024,44,13.66,0,5.79,48.3
2024,45,13.8,0,07.01,55.4
2024,46,13.4,0.02,7.44,63.31
2024,47,12.06,5.91,7.77,70.79
2024,48,8.63,9.41,6.85,75.55
2024,49,9.79,0.14,4.88,56.2
2024,50,11.92,0,3.26,33.65
2024,51,12.77,0,3.37,33.5
2024,52,14.73,0,03.06,27.37
2024,53,15.35,0,3.54,29.79
2024,54,15.22,0,3.89,32.43
2024,55,15.25,0,5.77,47.71
2024,56,15.89,0,05.05,39.72
2024,57,16.35,0,4.1,32.05
2024,58,16.57,0,4.4,32.08
2024,59,16.88,0,5.31,39.29
2024,60,15.5,0,5.79,44.48
2024,61,15.94,0,5.72,42.36
2024,62,15.6,0,5.38,40.58
2024,63,15.55,0,5.3,41.78
2024,64,15.36,0,5.21,40.85
2024,65,15.71,0,3.89,30.63
2024,66,16.19,0,4.34,31.85
2024,67,16.38,0,4.17,32.45
2024,68,17.04,0,3.28,24.36
2024,69,17.17,0.04,3.98,30.8
2024,70,15.39,0.06,6.39,51.47
2024,71,16.35,0.02,6.61,49.71
2024,72,16.71,0.03,5.43,39.9
2024,73,16.47,0,5.23,38.54
2024,74,16.85,0,4.88,34.11
2024,75,16.89,0,4.45,31.53
2024,76,17.17,0,4.63,32.06
2024,77,17.17,0,4.3,28.88
2024,78,18.26,0.16,5.11,34.18
2024,79,17.58,0.07,08.05,54.7
2024,80,18.12,0.16,6.32,40.24
2024,81,16.64,0.01,5.65,40.13
2024,82,16.61,0.01,5.34,41.23
2024,83,16.89,0,4.87,34.69
2024,84,15.16,0,3.49,31.62
2024,85,14.02,0,2.4,21.67
2024,86,15.44,0,2.2,18.01
2024,87,16.4,0.01,2.88,25.18
2024,88,14.91,0.01,06.01,50.58
2024,89,16.21,0,4.36,36.06
2024,90,17.09,0,3.91,28.48
2024,91,17.53,0,4.87,33.83
2024,92,17.42,0,5.37,37.5
2024,93,17.49,0,6.17,45
2024,94,17.18,0.03,6.79,48.1
2024,95,15.54,0,05.08,39.85
2024,96,16.2,0,4.18,31.4
2024,97,16.69,0,4.55,33.8
2024,98,17.51,0,4.98,35.67
2024,99,17.43,0,4.72,31.76
2024,100,16.99,0,5.27,35.68
2024,101,17.02,0,6.29,46.1
2024,102,16.49,0,6.24,44.29
2024,103,17.36,0.71,6.45,45.53
2024,104,18.68,0.01,6.19,40.84
2024,105,18.96,0,5.21,34.06
2024,106,19.97,0.23,6.47,39
2024,107,20.37,0.09,6.88,40.26
2024,108,20.62,0.28,7.61,44.19
2024,109,20.74,0.41,6.35,34.57
2024,110,19.21,1.97,7.59,44.24
2024,111,18.79,1.98,7.77,47.53
2024,112,19.06,1.95,07.07,42.92
2024,113,16.84,3.69,9.61,63.83
2024,114,18.09,0.37,08.01,53.18
2024,115,19.14,0.17,6.56,39.6
2024,116,19.27,0.38,6.72,39.3
2024,117,19.08,0.06,7.14,42.41
2024,118,18.86,0.03,6.79,40.38
2024,119,18.19,0,5.27,35.23
2024,120,18.4,0.02,5.29,33.15
2024,121,19.06,0,5.51,33.89
2024,122,18.68,0,5.89,35.46
2024,123,19.32,0,5.65,32.96
2024,124,20.67,0.21,5.39,30.04
2024,125,20.65,0.79,06.05,34.21
2024,126,21.14,0.34,6.63,35.37
2024,127,21.45,0.11,5.42,29.18
2024,128,21.93,0.07,4.31,22.51
2024,129,21.11,0.24,4.35,22.64
2024,130,22.51,0.23,05.05,25.46
2024,131,22.9,0,5.27,25.16
2024,132,22.03,0.87,5.35,28.32
2024,133,20.87,0.21,5.55,30.34
2024,134,20.27,0.31,5.12,28.83
2024,135,20.43,0.35,6.37,36.05
2024,136,20.28,0.41,5.47,31.54
2024,137,20.41,1.4,6.23,36.45
2024,138,21.25,0.19,6.27,36.4
2024,139,21.33,2.16,8.41,47.15
2024,140,21.08,0.76,9.18,51.68
2024,141,21.47,0.04,7.98,44.39
2024,142,21.62,0.01,6.61,38.58
2024,143,21.6,4.97,9.74,52.45
2024,144,21.6,1.79,10.16,53.28
2024,145,22.33,2.6,8.48,42.89
2024,146,22.91,0.66,8.55,40.89
2024,147,21.53,04.05,09.05,47.4
2024,148,21.17,0.22,7.62,42.9
2024,149,21.05,0.29,6.9,38
2024,150,19.51,6.25,8.53,48.8
2024,151,20.11,1.15,8.28,47.81
2024,152,20.92,0,7.76,43.98